system:index,AREA_TOTAL,DESC_TALHA,FAZENDA,NOME_FAZ,TALHAO,date,.geo
20260104T133841_20260104T134614_T21KZV_20,76.82,D1,3,SAN JORGE,41,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.169852999999996,-18.719630999999996],[-53.169858,-18.719559000000004],[-53.17279799999999,-18.721343],[-53.173828,-18.721932],[-53.173828,-18.729502000000004],[-53.17116699999999,-18.729502000000004],[-53.170449,-18.724142],[-53.16991699999999,-18.719976],[-53.169885,-18.719742],[-53.169852999999996,-18.719630999999996]]]}"
20260104T133841_20260104T134614_T21KZV_21,154.79,C1,3,SAN JORGE,21,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.155053,-18.710876],[-53.155165,-18.710902000000004],[-53.15960700000001,-18.713564],[-53.163131,-18.715641999999995],[-53.164923,-18.71673],[-53.166323,-18.717537],[-53.167053,-18.717984],[-53.167546,-18.718244],[-53.168415,-18.718762],[-53.16885499999999,-18.71898],[-53.169494,-18.719336000000002],[-53.169783,-18.719524],[-53.169858,-18.719849],[-53.170341,-18.723644],[-53.170717,-18.726403000000005],[-53.170706,-18.72656],[-53.170652,-18.726601],[-53.170604,-18.726606],[-53.17040600000001,-18.726571],[-53.157841999999995,-18.724009999999996],[-53.157515,-18.723929],[-53.15745600000001,-18.723863],[-53.156442,-18.718700999999996],[-53.155058,-18.711776],[-53.15494,-18.711246999999997],[-53.154929,-18.711090000000002],[-53.154956,-18.710968],[-53.155004,-18.710902000000004],[-53.155053,-18.710876]]]}"
20260104T133841_20260104T134614_T21KZV_22,90.49,A2,3,SAN JORGE,2,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.151855,-18.708808],[-53.15185499999999,-18.708692],[-53.156034,-18.708692000000003],[-53.155423,-18.710008],[-53.15509,-18.710699],[-53.155053,-18.710744000000002],[-53.153712000000006,-18.709921],[-53.151855,-18.708808]]]}"
20260104T133841_20260104T134614_T21KZV_23,164.91,B1,3,SAN JORGE,11,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.153476,-18.722952999999997],[-53.15185499999999,-18.722582],[-53.15185499999999,-18.708869000000004],[-53.154306999999996,-18.710353],[-53.154919,-18.710734],[-53.154988,-18.710795],[-53.154983,-18.710841],[-53.154881,-18.711059],[-53.154886,-18.711207000000005],[-53.155326,-18.713361],[-53.155348,-18.713549],[-53.15576599999999,-18.715551],[-53.155991,-18.716775],[-53.15622700000001,-18.717863],[-53.156501,-18.719310999999998],[-53.156973,-18.721612],[-53.157139,-18.722511],[-53.15737,-18.723634],[-53.157380999999994,-18.723802],[-53.157333,-18.723863],[-53.157225,-18.723868000000003],[-53.153476,-18.722952999999997]]]}"
20260104T133841_20260104T134614_T21KZV_24,199.45,C2,3,SAN JORGE,22,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.157499,-18.723985000000003],[-53.157874,-18.724051],[-53.17065800000001,-18.726662],[-53.170749,-18.726723],[-53.170792000000006,-18.726926],[-53.17095299999999,-18.728261999999997],[-53.171001,-18.728536999999996],[-53.171124,-18.729502],[-53.15858800000001,-18.729502000000004],[-53.158416,-18.728576999999998],[-53.158319999999996,-18.728176],[-53.15818000000001,-18.727409],[-53.158100000000005,-18.727074],[-53.157499,-18.723985000000003]]]}"
20260104T133841_20260104T134614_T21KZV_25,175.12,B2,3,SAN JORGE,12,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.15855,-18.729502000000004],[-53.15185499999999,-18.729502000000004],[-53.151855,-18.722608],[-53.152885000000005,-18.722841999999996],[-53.157091,-18.723878],[-53.15743400000001,-18.723949],[-53.157483,-18.724132],[-53.15855,-18.729502000000004]]]}"
20260104T133841_20260104T134614_T21KZV_26,85.27,E2,3,SAN JORGE,32,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.165057,-18.689764],[-53.165336,-18.689971999999997],[-53.16576,-18.690252],[-53.16824900000001,-18.691852],[-53.168957,-18.692289],[-53.16921500000001,-18.692472000000002],[-53.170969,-18.693579999999997],[-53.171639,-18.694012],[-53.171672,-18.694053],[-53.171666,-18.694098],[-53.171548,-18.694322],[-53.17143,-18.694607],[-53.17070100000001,-18.696446],[-53.168335000000006,-18.702472000000004],[-53.168308,-18.702527999999997],[-53.16828699999999,-18.702538000000004],[-53.161367,-18.698199],[-53.161280999999995,-18.698108],[-53.161291,-18.698035999999995],[-53.161592,-18.697361000000004],[-53.164521,-18.690933],[-53.164896,-18.690144999999998],[-53.165057,-18.689764]]]}"
20260104T133841_20260104T134614_T21KZV_27,89.58,E3,3,SAN JORGE,33,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.171688,-18.694109],[-53.17172000000001,-18.694093],[-53.17179,-18.694103999999996],[-53.172031,-18.694281000000004],[-53.172728,-18.694713000000004],[-53.173828,-18.695435],[-53.173828,-18.706004],[-53.17187,-18.704784],[-53.16937,-18.703199],[-53.16841,-18.702615],[-53.168373,-18.702589],[-53.168351,-18.702527999999997],[-53.168448,-18.702244000000004],[-53.17128499999999,-18.695088999999996],[-53.171436,-18.694673],[-53.171688,-18.694109]]]}"
20260104T133841_20260104T134614_T21KZV_28,135.76,A4,3,SAN JORGE,4,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.161254,-18.698214],[-53.161324,-18.698219],[-53.161576000000004,-18.698367],[-53.173828,-18.706044],[-53.173828,-18.708692],[-53.164875,-18.708691999999996],[-53.163614,-18.70797],[-53.161544,-18.706685],[-53.15977899999999,-18.705633],[-53.158100000000005,-18.704667],[-53.15805100000001,-18.704622000000004],[-53.15805100000001,-18.704545],[-53.158218,-18.704200000000004],[-53.158765,-18.703128],[-53.15922100000001,-18.702284],[-53.159822,-18.701121],[-53.160685,-18.699363],[-53.161206,-18.69826],[-53.161254,-18.698214]]]}"
20260104T133841_20260104T134614_T21KZV_29,116.55,E1,3,SAN JORGE,31,2026-01-04,"{""type"":""Polygon"",""coordinates"":[[[-53.15185499999999,-18.690515999999995],[-53.153068,-18.687879000000002],[-53.161265,-18.687878999999995],[-53.162279,-18.688311],[-53.163148,-18.688626],[-53.163663,-18.688844],[-53.164237,-18.689114],[-53.164462,-18.689266],[-53.16490700000001,-18.689622000000004],[-53.164998,-18.689713],[-53.165009,-18.689774],[-53.16487,-18.690155],[-53.162761,-18.694729],[-53.161254,-18.698061999999997],[-53.161232,-18.698077],[-53.161088,-18.698011],[-53.158894,-18.696659],[-53.151855,-18.692396],[-53.15185499999999,-18.690515999999995]]]}"
